timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
73807316,0.0,0.0,0.0,0.002248,-0.00155307,0.298309,0.0,0.0,0.0,0.0169726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257352,0.257352,4.06183,0.0,0.0,0.0,0.0901634,0.0,0.0,0.0,0.0,0.0,0.000123798,0.00131784,0.00375421,0.0,0.0,0.0,0.0,0.0,0.0
74012103,0.0,0.0,0.0,0.0024624,-0.00136856,0.00662231,0.0,0.0,0.0,-0.0207389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25726,0.25726,4.06136,0.0,0.0,0.0,0.0901632,0.0,0.0,0.0,0.0,0.0,0.000155276,0.00173689,0.00463995,0.0,0.0,0.0,0.0,0.0,0.0
74216151,0.0,0.0,0.0,0.00269908,-0.00124695,-0.293579,0.0,0.0,0.0,-0.0119836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257257,0.257257,4.06125,0.0,0.0,0.0,0.090163,0.0,0.0,0.0,0.0,0.0,0.0002026,0.00129621,0.00343079,0.0,0.0,0.0,0.0,0.0,0.0
74417742,0.0,0.0,0.0,0.00288561,-0.00117863,-0.111481,0.0,0.0,0.0,0.0370972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257301,0.257301,4.06137,0.0,0.0,0.0,0.0901628,0.0,0.0,0.0,0.0,0.0,0.000350727,0.00186329,0.00512762,0.0,0.0,0.0,0.0,0.0,0.0
74621716,0.0,0.0,0.0,0.00314424,-0.00110961,-0.201111,0.0,0.0,0.0,-0.00144452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257288,0.257288,4.06124,0.0,0.0,0.0,0.0901627,0.0,0.0,0.0,0.0,0.0,0.00033627,0.000833944,0.00164086,0.0,0.0,0.0,0.0,0.0,0.0
74821679,0.0,0.0,0.0,0.00344258,-0.000962462,0.268341,0.0,0.0,0.0,0.0224073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257206,0.257206,4.06081,0.0,0.0,0.0,0.0901625,0.0,0.0,0.0,0.0,0.0,0.000131552,0.00294742,0.00869381,0.0,0.0,0.0,0.0,0.0,0.0
75025673,0.0,0.0,0.0,0.00373891,-0.000846581,0.0439758,0.0,0.0,0.0,-0.0175409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257265,0.257266,4.061,0.0,0.0,0.0,0.0901624,0.0,0.0,0.0,0.0,0.0,0.000149898,0.00298037,0.00948798,0.0,0.0,0.0,0.0,0.0,0.0
75229809,0.0,0.0,0.0,0.00399576,-0.000710812,0.0521851,0.0,0.0,0.0,-0.00470021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2572,0.2572,4.06063,0.0,0.0,0.0,0.0901623,0.0,0.0,0.0,0.0,0.0,0.000119839,0.000790533,0.00128807,0.0,0.0,0.0,0.0,0.0,0.0
75433753,0.0,0.0,0.0,0.00415018,-0.000676137,-0.0276184,0.0,0.0,0.0,-0.000549316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257186,0.257186,4.06052,0.0,0.0,0.0,0.0901621,0.0,0.0,0.0,0.0,0.0,0.000204189,0.00142673,0.00341493,0.0,0.0,0.0,0.0,0.0,0.0
75634541,0.0,0.0,0.0,0.00432879,-0.000782503,-0.0712891,0.0,0.0,0.0,0.00878052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25738,0.25738,4.06137,0.0,0.0,0.0,0.090162,0.0,0.0,0.0,0.0,0.0,0.00019387,0.00118752,0.00291396,0.0,0.0,0.0,0.0,0.0,0.0
