timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
157780482,0.351045,0.43896,0.0471707
157789289,0.347488,0.424696,0.0562722
157800483,0.336463,0.417368,0.0658047
157809340,0.336416,0.43831,0.063454
157820482,0.337983,0.419818,0.048254
157829317,0.330966,0.432782,0.0713468
157840491,0.349586,0.432912,0.0677774
157849324,0.343696,0.435232,0.0535727
157860492,0.334506,0.426235,0.061399
157869306,0.34965,0.432782,0.0709745
157879750,0.341725,0.426755,0.0484617
157889304,0.338237,0.419298,0.0610424
157899726,0.35337,0.41197,0.0700537
157909284,0.330891,0.419038,0.0675855
157919727,0.353143,0.447177,0.0586759
157929301,0.354903,0.431763,0.0532083
157939727,0.341974,0.419298,0.0609679
157949313,0.353059,0.423026,0.0544914
157959746,0.351158,0.421357,0.0528596
157969284,0.336541,0.434581,0.0697071
157979731,0.345985,0.443058,0.0746693
157989284,0.351299,0.43844,0.0599591
157999749,0.338174,0.419428,0.0578453
158009284,0.364336,0.426365,0.0576062
158019743,0.353248,0.419168,0.0639416
158029284,0.353314,0.422506,0.0672798
158039744,0.351355,0.427904,0.062733
158049284,0.355091,0.427904,0.0626585
158059742,0.351166,0.431763,0.0532828
158069284,0.336408,0.427904,0.0630308
158079727,0.344003,0.420707,0.0689939
158089284,0.351163,0.428294,0.0531417
158099746,0.351163,0.428294,0.0531417
158109287,0.351163,0.428294,0.0531417
158110054,0.351163,0.428294,0.0531417
158119741,0.351163,0.428294,0.0531417
158129298,0.351163,0.428294,0.0531417
158130054,0.351163,0.428294,0.0531417
158139751,0.351163,0.428294,0.0531417
158149286,0.351163,0.428294,0.0531417
158150053,0.351163,0.428294,0.0531417
158159798,0.34198,0.426235,0.06125
158168477,0.343759,0.435102,0.0567698
158179775,0.345655,0.429834,0.0581196
158188477,0.338298,0.415699,0.0640984
158199792,0.349456,0.429704,0.0612422
158208477,0.343887,0.434842,0.063164
158219746,0.345711,0.419298,0.0608935
158228477,0.345777,0.422636,0.0642316
158239761,0.351421,0.431243,0.0660711
158248477,0.358947,0.417238,0.068555
158259745,0.36415,0.433693,0.048297
158268477,0.345595,0.433432,0.0550635
158279721,0.341919,0.429834,0.058194
158288477,0.347626,0.43831,0.0632306
158299757,0.355094,0.431373,0.0627996
158308452,0.351346,0.417498,0.0623098
158319745,0.355152,0.424306,0.0657145
158328463,0.334451,0.436771,0.0586251
158339722,0.351421,0.431243,0.0660711
158348453,0.340275,0.431113,0.0694916
158359721,0.356938,0.44011,0.0615164
158368469,0.351349,0.420967,0.0624508
158379721,0.360547,0.44037,0.0550478
158388488,0.355219,0.427644,0.0690527
158399721,0.351352,0.424436,0.0625919
158408456,0.351285,0.421097,0.0592537
158419720,0.347435,0.4387,0.0536393
158428500,0.347421,0.421357,0.052934
158439756,0.343626,0.428425,0.0500935
158448526,0.35508,0.41403,0.0620943
158459733,0.341849,0.423026,0.0547148
158468476,0.325264,0.431243,0.0665924
158479696,0.351482,0.427644,0.0691271
158488476,0.349395,0.433302,0.0581862
158498899,0.349395,0.433302,0.0581862
158508477,0.349395,0.433302,0.0581862
158518886,0.349395,0.433302,0.0581862
158528477,0.349395,0.433302,0.0581862
158538885,0.349395,0.433302,0.0581862
158547653,0.362576,0.441779,0.0630738
158557290,0.358828,0.427904,0.062584
158558884,0.358892,0.427774,0.0657811
158567653,0.351288,0.424566,0.0593948
158577277,0.347546,0.417628,0.0591872
158578855,0.347673,0.417368,0.0655813
158587684,0.334434,0.415959,0.0577787
158597298,0.341922,0.433302,0.0583351
158598853,0.342176,0.432782,0.0711234
158607704,0.349447,0.419298,0.060819
158617292,0.343855,0.434907,0.0615655
158618861,0.344014,0.434581,0.0695582
158627684,0.347374,0.442299,0.0505833
158637293,0.354839,0.431893,0.0500112
158638853,0.355221,0.431113,0.0691938
158647684,0.330897,0.425975,0.0678676
158657300,0.347716,0.431178,0.0677441
158658853,0.347748,0.431113,0.0693427
158667684,0.338182,0.429834,0.0582685
158677316,0.341908,0.415959,0.0576298
158678853,0.34229,0.415179,0.0768123
158687684,0.356935,0.436641,0.0613754
158697291,0.347593,0.436641,0.0615615
158698853,0.347881,0.43779,0.076019
158707684,0.369855,0.4387,0.0531926
158717289,0.338094,0.4387,0.0538255
158718879,0.338249,0.433172,0.0616066
158727684,0.356926,0.426235,0.0609522
158737281,0.34198,0.426235,0.06125
158738876,0.341977,0.422766,0.061109
158747721,0.334695,0.422376,0.0708492
158758884,0.35143,0.441649,0.0664943
158767689,0.351551,0.434451,0.0726064
158778885,0.342041,0.422636,0.0643061
158787676,0.334764,0.429183,0.0743284
158798893,0.338625,0.425455,0.0805071
158807676,0.347557,0.431503,0.0597514
158818925,0.355149,0.420837,0.0655735
158827677,0.354964,0.428164,0.0562643
158838894,0.34927,0.437031,0.051933
158847677,0.347887,0.444727,0.0763011
158858904,0.356788,0.412621,0.0539938
158867677,0.356788,0.412621,0.0539938
158887677,0.356788,0.412621,0.0539938
158907653,0.356788,0.412621,0.0539938
158916484,0.356854,0.415959,0.0573319
158926896,0.353323,0.432912,0.067703
158936485,0.342035,0.415699,0.064024
158946915,0.339948,0.421357,0.053083
158956484,0.338498,0.425715,0.0741129
158966879,0.349907,0.43573,0.0839039
158976484,0.33286,0.424045,0.0725555
158986900,0.334576,0.433042,0.0648782
158997253,0.345916,0.436251,0.07119
159006916,0.330767,0.422766,0.0613324
159017276,0.338576,0.442928,0.0780153
159026877,0.345655,0.429834,0.0581196
159036467,0.345789,0.436511,0.0647959
159046877,0.338318,0.439979,0.0650859
159057276,0.342101,0.419038,0.0673621
159066889,0.345852,0.436381,0.067993
159077276,0.343937,0.417368,0.0656558
159086887,0.353132,0.433302,0.0581117
159098091,0.336715,0.413379,0.078452
159106853,0.330891,0.419038,0.0675855
159116453,0.357057,0.429443,0.0674874
159126883,0.340139,0.420967,0.0626742
159137298,0.345595,0.433432,0.0550635
159146883,0.325647,0.430462,0.0857749
159158084,0.36624,0.431503,0.0593791
159166883,0.338057,0.433562,0.0520154
159178084,0.328998,0.427774,0.0663768
159186891,0.347803,0.420577,0.0721166
159198077,0.334631,0.422506,0.0676521
159206884,0.334373,0.419558,0.0547227
159218085,0.353256,0.429574,0.0643648
159226884,0.338501,0.429183,0.0742539
159238090,0.349777,0.432522,0.0773687
159246885,0.349777,0.432522,0.0773687
