timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
515489462,0.272079,0.0156903,0.0745826
515690719,0.28748,0.0155302,0.0772946
515892814,0.267003,0.0150917,0.0754768
516092129,0.278251,0.0158605,0.0777643
516295836,0.284062,0.0160951,0.0804117
516500897,0.298489,0.015565,0.0803637
516702240,0.269443,0.0162571,0.0693531
516906979,0.313332,0.0159292,0.0734899
517107228,0.283159,0.016584,0.0758657
517310909,0.254123,0.0154023,0.0698447
517515216,0.267393,0.0153973,0.0716451
517717467,0.255525,0.0171722,0.075487
517918218,0.261121,0.0152755,0.0708307
518120283,0.299417,0.0144721,0.0707416
518321326,0.270716,0.015617,0.0676306
518520888,0.255735,0.0163143,0.0641769
518726276,0.271523,0.0160123,0.0681274
518926183,0.250302,0.0145959,0.068478
519126209,0.26367,0.0160347,0.0705016
519331145,0.275346,0.0156644,0.0716026
519534330,0.267534,0.0154912,0.0717329
519739808,0.263532,0.0162187,0.0733275
519940522,0.248321,0.0172755,0.0772673
520143836,0.271838,0.0159243,0.0806624
520343813,0.289949,0.0159601,0.0753991
520543793,0.265603,0.0147142,0.0759362
520748318,0.279699,0.0166593,0.0761721
520951785,0.282228,0.0131166,0.0802166
521156064,0.282769,0.0174026,0.0807263
521355797,0.25011,0.0164093,0.0809931
521561657,0.279672,0.0146812,0.0794372
521761664,0.252662,0.0156694,0.0769532
521961675,0.299062,0.0164661,0.0771873
522165363,0.268689,0.0154036,0.0796928
522370486,0.318329,0.0171915,0.078676
522573368,0.287512,0.0171573,0.0767283
522773314,0.281945,0.0169758,0.0741669
522979252,0.263034,0.0169088,0.0716486
523179258,0.261417,0.0164968,0.0733975
523384701,0.260149,0.0156909,0.0758379
523587953,0.317222,0.0146391,0.0685442
523787780,0.258111,0.0161395,0.0796501
523992778,0.269244,0.0140423,0.0744718
524194286,0.268268,0.015307,0.0728832
524399106,0.293006,0.015954,0.0680566
524600661,0.257607,0.0158369,0.0683375
524805627,0.291022,0.0155456,0.0685626
525005646,0.261437,0.0167831,0.061857
525207035,0.255585,0.0158383,0.0697089
525411244,0.25091,0.015123,0.0688322
525611515,0.263438,0.0152688,0.0742594
525811717,0.276275,0.0150382,0.0812002
526011163,0.281623,0.0155604,0.0733066
526215027,0.304561,0.0170531,0.0677959
526419275,0.278895,0.0171078,0.0723445
526620675,0.27237,0.0162568,0.0711417
526824765,0.277756,0.0156353,0.0774255
527025749,0.275381,0.016839,0.0802057
527225697,0.275622,0.0153953,0.079891
527429444,0.289071,0.0150747,0.0741689
527631123,0.254684,0.0170508,0.0758778
527831033,0.298348,0.0163539,0.0764751
528035498,0.258793,0.0148573,0.0721204
528239002,0.25767,0.0155611,0.0761917
528443225,0.282476,0.0162478,0.0836309
528643788,0.277812,0.014753,0.0774174
528846923,0.277604,0.0167287,0.0750958
529052002,0.296461,0.0147747,0.0720288
529252903,0.285008,0.0162008,0.0767442
529457456,0.294861,0.0167396,0.0733685
529657381,0.246528,0.0152475,0.0653214
529862167,0.283741,0.0159192,0.0799397
530063372,0.248303,0.0166639,0.07718
530263771,0.261567,0.0165464,0.0776923
530463211,0.255077,0.0183341,0.0771
530667106,0.264873,0.0181939,0.0708465
530869923,0.279993,0.0147947,0.0724997
531073411,0.257087,0.0161185,0.072734
531274148,0.277019,0.0175005,0.0684255
531478498,0.296334,0.01661,0.0703936
531680849,0.274423,0.0177036,0.0687156
531880114,0.289781,0.017098,0.0707582
532083755,0.305532,0.0154347,0.0744421
532289073,0.295087,0.0170408,0.0695994
532492543,0.246858,0.0167944,0.0722345
532694657,0.277191,0.0166075,0.0730728
532894757,0.28674,0.015412,0.0745163
533094717,0.283926,0.0163371,0.0712397
533296059,0.285339,0.0147353,0.0785433
533499007,0.253081,0.0154306,0.0707248
533700668,0.292676,0.0161258,0.0784875
533904785,0.295279,0.017838,0.0779611
534105604,0.285801,0.0168609,0.0779449
534308619,0.276975,0.0178433,0.0782918
534508632,0.245804,0.0153959,0.0767447
534711074,0.273742,0.0166456,0.087095
534911370,0.306124,0.0162676,0.0791066
535110885,0.308022,0.0179414,0.0778772
535314133,0.279245,0.0151177,0.0726457
535518722,0.262195,0.0143615,0.0766782
535722189,0.259899,0.0152865,0.07375
535924617,0.264124,0.0159792,0.0748435
536129403,0.266249,0.0178133,0.0749671
536329782,0.244709,0.0139879,0.0769038
536531930,0.291121,0.0158365,0.0734882
