timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
11504164,0.0013274,0.00569834,-0.00151994,0.691362,0.712499,0.0768067,0.0920068,1.0,0.0,0.0,0.0,0
11536160,-0.000453809,0.00458017,0.000259283,0.691352,0.712513,0.0767911,0.0919834,1.0,0.0,0.0,0.0,0
11568900,-0.000135351,0.00536621,0.000191776,0.691371,0.712499,0.0767648,0.0919707,1.0,0.0,0.0,0.0,0
11600910,-0.000778866,0.0041347,0.000783192,0.691379,0.712496,0.0767545,0.0919446,1.0,0.0,0.0,0.0,0
11629818,0.00425653,0.00543159,-0.00223518,0.691402,0.712476,0.0767522,0.091929,1.0,0.0,0.0,0.0,0
11662508,-0.00169374,0.00508524,-0.00130035,0.69141,0.712471,0.0767433,0.0919141,1.0,0.0,0.0,0.0,0
11694544,-0.0018434,0.00517782,0.000430747,0.691409,0.712474,0.0767379,0.0919071,1.0,0.0,0.0,0.0,0
11726500,0.00256007,0.00378283,-0.00216231,0.691411,0.712471,0.0767341,0.0919069,1.0,0.0,0.0,0.0,0
11758549,0.000765316,0.0034665,-0.00266157,0.691434,0.712449,0.0767391,0.0919026,1.0,0.0,0.0,0.0,0
11790577,-0.00380496,0.00707497,-0.00125505,0.69143,0.712451,0.0767541,0.0919079,1.0,0.0,0.0,0.0,0
11822512,-9.48459e-06,0.00738243,0.00177244,0.691411,0.712464,0.0767877,0.0919217,1.0,0.0,0.0,0.0,0
11854525,-0.00178579,0.00613333,-0.000268131,0.691405,0.712462,0.0768236,0.0919513,1.0,0.0,0.0,0.0,0
11887340,-0.00121179,0.00562088,0.00237227,0.691389,0.71247,0.0768447,0.0919966,1.0,0.0,0.0,0.0,0
11919324,-0.0013478,0.00385715,0.000259208,0.691387,0.712459,0.0768908,0.0920528,1.0,0.0,0.0,0.0,0
11947325,0.00443091,0.00669863,4.95687e-05,0.691382,0.712454,0.0769378,0.0920957,1.0,0.0,0.0,0.0,0
11979356,0.000378751,0.00580969,0.0017861,0.69137,0.71245,0.0769962,0.0921642,1.0,0.0,0.0,0.0,0
12011336,0.00093517,0.00383876,-0.00117506,0.691369,0.712442,0.0770359,0.0922044,1.0,0.0,0.0,0.0,0
12043375,0.000664316,0.00328987,0.000500337,0.691375,0.712427,0.0770683,0.0922435,1.0,0.0,0.0,0.0,0
12075312,-0.000679505,0.00281766,0.00140125,0.691371,0.712426,0.0770747,0.0922792,1.0,0.0,0.0,0.0,0
12107306,-0.00132216,0.00695285,0.00136054,0.691372,0.712418,0.0770937,0.0923154,1.0,0.0,0.0,0.0,0
12139434,-0.00017268,0.00507714,0.000853247,0.691372,0.712415,0.0771072,0.0923293,1.0,0.0,0.0,0.0,0
12171356,-0.0010824,0.00490269,-0.000842561,0.691378,0.712403,0.077137,0.0923449,1.0,0.0,0.0,0.0,0
12199332,0.000985872,0.00693373,0.00025466,0.691391,0.712386,0.0771594,0.0923704,1.0,0.0,0.0,0.0,0
12231348,0.00231962,0.00473436,-0.00176693,0.69138,0.712393,0.0771722,0.0923848,1.0,0.0,0.0,0.0,0
12263309,0.000472247,0.00543058,0.0023283,0.691381,0.71239,0.0771688,0.092399,1.0,0.0,0.0,0.0,0
