timestamp,ping_time,ping_sequence,dropped_packets,rtt_ms,system_id,component_id
422385432,422384347,419,3735928559,1.085,255,0
423387355,423382143,420,3735928559,5.212,255,0
424390509,424382361,421,3735928559,8.148,255,0
425390245,425382525,422,3735928559,7.72,255,0
426381807,426381173,423,3735928559,0.634,255,0
427381431,427380864,424,3735928559,0.567,255,0
428383276,428382699,425,3735928559,0.577,255,0
429384130,429383672,426,3735928559,0.458,255,0
430382287,430381798,427,3735928559,0.489,255,0
431383850,431383377,428,3735928559,0.473,255,0
432382989,432382305,429,3735928559,0.684,255,0
433382375,433381741,430,3735928559,0.634,255,0
434382210,434381388,431,3735928559,0.822,255,0
435384838,435384259,432,3735928559,0.579,255,0
436387960,436385590,433,3735928559,2.37,255,0
437383303,437382900,434,3735928559,0.403,255,0
438382180,438381720,435,3735928559,0.46,255,0
439382999,439382528,436,3735928559,0.471,255,0
440383338,440383046,437,3735928559,0.292,255,0
441384662,441382726,438,3735928559,1.936,255,0
442383082,442382628,439,3735928559,0.454,255,0
443386731,443385558,440,3735928559,1.173,255,0
444381445,444380928,441,3735928559,0.517,255,0
445382762,445382346,442,3735928559,0.416,255,0
446382503,446381918,443,3735928559,0.585,255,0
447382995,447382460,444,3735928559,0.535,255,0
448381648,448381119,445,3735928559,0.529,255,0
449384212,449382639,446,3735928559,1.573,255,0
450383427,450383109,447,3735928559,0.318,255,0
451381838,451381474,448,3735928559,0.364,255,0
452383310,452382759,449,3735928559,0.551,255,0
453383139,453382573,450,3735928559,0.566,255,0
454381575,454381018,451,3735928559,0.557,255,0
455383817,455383197,452,3735928559,0.62,255,0
456382982,456382604,453,3735928559,0.378,255,0
457385418,457384311,454,3735928559,1.107,255,0
458381645,458380983,455,3735928559,0.662,255,0
459386324,459384970,456,3735928559,1.354,255,0
460385754,460385435,457,3735928559,0.319,255,0
461385487,461384968,458,3735928559,0.519,255,0
462385295,462384754,459,3735928559,0.541,255,0
463382627,463382174,460,3735928559,0.453,255,0
464382229,464381753,461,3735928559,0.476,255,0
465384173,465383733,462,3735928559,0.44,255,0
466382963,466382388,463,3735928559,0.575,255,0
467383057,467382678,464,3735928559,0.379,255,0
468381877,468381414,465,3735928559,0.463,255,0
469382204,469381821,466,3735928559,0.383,255,0
470381926,470381397,467,3735928559,0.529,255,0
471385858,471385420,468,3735928559,0.438,255,0
472383746,472383092,469,3735928559,0.654,255,0
473382942,473382380,470,3735928559,0.562,255,0
474385083,474384358,471,3735928559,0.725,255,0
475383743,475383248,472,3735928559,0.495,255,0
476382237,476381730,473,3735928559,0.507,255,0
477383512,477383070,474,3735928559,0.442,255,0
478382348,478381800,475,3735928559,0.548,255,0
479385342,479384637,476,3735928559,0.705,255,0
480382217,480381675,477,3735928559,0.542,255,0
481384827,481384223,478,3735928559,0.604,255,0
482382968,482380887,479,3735928559,2.081,255,0
483383981,483382331,480,3735928559,1.65,255,0
484382193,484381628,481,3735928559,0.565,255,0
485383007,485382544,482,3735928559,0.463,255,0
486383698,486383020,483,3735928559,0.678,255,0
487385645,487384036,484,3735928559,1.609,255,0
488385673,488385089,485,3735928559,0.584,255,0
489385107,489384831,486,3735928559,0.276,255,0
490384667,490383858,487,3735928559,0.809,255,0
491385478,491384982,488,3735928559,0.496,255,0
492385900,492385378,489,3735928559,0.522,255,0
493381712,493381124,490,3735928559,0.588,255,0
494382337,494381916,491,3735928559,0.421,255,0
495381858,495381544,492,3735928559,0.314,255,0
496383726,496383119,493,3735928559,0.607,255,0
497382714,497382207,494,3735928559,0.507,255,0
498382206,498381821,495,3735928559,0.385,255,0
