timestamp,alt_max,landed,freefall,ground_contact,maybe_landed
113045565,inf,1,0,0,0
114062483,inf,1,0,0,0
115077502,inf,1,0,0,0
116095075,inf,1,0,0,0
117105499,inf,1,0,0,0
118123472,inf,1,0,0,0
119139221,inf,1,0,0,0
120158376,inf,1,0,0,0
121173469,inf,1,0,0,0
122186535,inf,1,0,0,0
123206470,inf,1,0,0,0
124219016,inf,1,0,0,0
125229630,inf,1,0,0,0
126246470,inf,1,0,0,0
127263969,inf,1,0,0,0
128277493,inf,1,0,0,0
129286256,inf,1,0,0,0
130299141,inf,1,0,0,0
131311470,inf,1,0,0,0
132333416,inf,1,0,0,0
133343481,inf,1,0,0,0
134360208,inf,1,0,0,0
135373469,inf,1,0,0,0
136386482,inf,1,0,0,0
137387051,inf,1,0,0,0
138394285,inf,1,0,0,0
139404561,inf,1,0,0,0
140419487,inf,1,0,0,0
141434478,inf,1,0,0,0
142452667,inf,1,0,0,0
143468601,inf,1,0,0,0
144482470,inf,1,0,0,0
145496692,inf,1,0,0,0
146512542,inf,1,0,0,0
147530490,inf,1,0,0,0
148542526,inf,1,0,0,0
149557556,inf,1,0,0,0
150574429,inf,1,0,0,0
151586484,inf,1,0,0,0
152594472,inf,1,0,0,0
153609447,inf,1,0,0,0
154625471,inf,1,0,0,0
155638486,inf,1,0,0,0
156641462,inf,1,0,0,0
157659972,inf,1,0,0,0
158674482,inf,1,0,0,0
159687500,inf,1,0,0,0
160705501,inf,1,0,0,0
161721395,inf,1,0,0,0
162721470,inf,1,0,0,0
163737495,inf,1,0,0,0
164748860,inf,1,0,0,0
165765726,inf,1,0,0,0
166785485,inf,1,0,0,0
167794469,inf,1,0,0,0
168795480,inf,1,0,0,0
169815036,inf,1,0,0,0
170829469,inf,1,0,0,0
171842502,inf,1,0,0,0
172854335,inf,1,0,0,0
173868965,inf,1,0,0,0
174883478,inf,1,0,0,0
175899470,inf,1,0,0,0
176913481,inf,1,0,0,0
177930361,inf,1,0,0,0
178939482,inf,1,0,0,0
179955524,inf,1,0,0,0
180971861,inf,1,0,0,0
181977486,inf,1,0,0,0
182987026,inf,1,0,0,0
183999503,inf,1,0,0,0
185013502,inf,1,0,0,0
186027541,inf,1,0,0,0
187042472,inf,1,0,0,0
188057755,inf,1,0,0,0
189071474,inf,1,0,0,0
190089795,inf,1,0,0,0
191105473,inf,1,0,0,0
192119486,inf,1,0,0,0
193139063,inf,1,0,0,0
194153753,inf,1,0,0,0
195170470,inf,1,0,0,0
196171470,inf,1,0,0,0
197185484,inf,1,0,0,0
198199471,inf,1,0,0,0
199211474,inf,1,0,0,0
200226486,inf,1,0,0,0
201241542,inf,1,0,0,0
202260544,inf,1,0,0,0
203272910,inf,1,0,0,0
204286476,inf,1,0,0,0
205305625,inf,1,0,0,0
206322342,inf,1,0,0,0
207337496,inf,1,0,0,0
208352677,inf,1,0,0,0
209367473,inf,1,0,0,0
210381471,inf,1,0,0,0
211398475,inf,1,0,0,0
212413473,inf,1,0,0,0
213427512,inf,1,0,0,0
214440780,inf,1,0,0,0
215453473,inf,1,0,0,0
216453550,inf,1,0,0,0
217463475,inf,1,0,0,0
218464568,inf,1,0,0,0
