timestamp,load,ram_usage
288757622,0.574414,0.872264
289762634,0.576411,0.872332
290763766,0.579149,0.871722
291766372,0.588418,0.873958
292768094,0.575785,0.872264
293769435,0.573124,0.872332
294770629,0.578011,0.871722
295774133,0.579478,0.873958
296775235,0.581084,0.872264
297779165,0.580769,0.872332
298780993,0.579919,0.871722
299780648,0.589956,0.873958
300781569,0.57323,0.872264
301783536,0.572984,0.872332
302785055,0.578875,0.871722
303785514,0.60295,0.873958
304788192,0.581397,0.872264
305791218,0.577098,0.872332
306792687,0.583317,0.871722
307792614,0.594951,0.873958
308793435,0.57135,0.872264
309795861,0.574511,0.872332
310796873,0.57742,0.871722
311798674,0.587708,0.873958
312799435,0.577337,0.872264
313803281,0.578106,0.872332
314804977,0.577302,0.871722
315805823,0.594843,0.873958
316806435,0.590098,0.872264
317807435,0.576907,0.872332
318808731,0.573484,0.871722
319812099,0.586714,0.873958
320812516,0.570375,0.872264
321813489,0.570359,0.872332
322815181,0.570945,0.871722
323815514,0.591696,0.873958
324816860,0.578667,0.872264
325818494,0.573917,0.872332
326820245,0.578139,0.871722
327821435,0.594704,0.873958
328822435,0.570937,0.872264
329824793,0.566973,0.872332
330827911,0.577149,0.871722
331828626,0.594354,0.873958
332832060,0.578346,0.872264
333833435,0.580326,0.872332
334836335,0.577542,0.871722
335837580,0.589097,0.873958
336838952,0.5733,0.872264
337839487,0.578707,0.872332
338840907,0.578414,0.871722
339842256,0.592546,0.873958
340844243,0.578577,0.872264
341847534,0.589653,0.872332
342848541,0.566495,0.871722
343850435,0.596102,0.873958
344852836,0.579269,0.872264
345855905,0.573057,0.872332
346856809,0.575951,0.871722
347857471,0.583968,0.873958
348858716,0.57039,0.872264
349860625,0.567764,0.872332
350861435,0.582785,0.871722
351862435,0.58909,0.873958
352863801,0.583743,0.872264
353865789,0.579055,0.872332
354868062,0.579489,0.871722
355870921,0.586371,0.873958
356873779,0.573493,0.872264
357874620,0.578574,0.872332
358877069,0.586601,0.871722
359878975,0.6036,0.873958
360880009,0.582961,0.872264
361881330,0.576429,0.872332
362883172,0.575875,0.871722
363884729,0.591246,0.873958
364885813,0.578482,0.872264
365886621,0.576263,0.872332
366888605,0.580321,0.872332
367889671,0.597627,0.873958
368890273,0.579241,0.872264
369891857,0.578807,0.872332
370894328,0.575694,0.871722
371896071,0.593205,0.873958
372896639,0.576198,0.872264
373897437,0.577074,0.872332
374898730,0.579228,0.872332
375902632,0.590864,0.873958
376903435,0.581787,0.872264
377904953,0.57656,0.872332
378905514,0.574719,0.872332
379906435,0.591172,0.873958
380907435,0.582794,0.872264
381909435,0.571667,0.872332
382910679,0.574261,0.872332
383914435,0.585328,0.873958
384915863,0.580305,0.872264
385916596,0.573527,0.872332
386918158,0.583143,0.872332
387920200,0.591534,0.873958
388923134,0.574571,0.872264
389923872,0.572789,0.872332
390927329,0.572464,0.872332
391928617,0.589437,0.873958
392929435,0.590325,0.872264
393930471,0.580319,0.872332
394931943,0.576586,0.872332
395934448,0.590967,0.873958
396936069,0.564453,0.872264
397938691,0.57621,0.872332
398939509,0.580961,0.872332
399940748,0.590909,0.873958
400943216,0.573155,0.872264
401944779,0.572761,0.872332
402948194,0.575288,0.872332
403949667,0.597385,0.873958
404950435,0.582761,0.872264
405951435,0.572781,0.872332
406952993,0.574005,0.872332
407953928,0.593022,0.873958
408954577,0.576314,0.872264
409955969,0.571443,0.872332
410959145,0.573512,0.872332
411959959,0.598185,0.873958
412960893,0.573263,0.872264
413961544,0.588281,0.872332
414965480,0.581709,0.872332
415966460,0.591824,0.873958
416968900,0.568337,0.872264
417971293,0.570419,0.872332
418974191,0.57634,0.872332
419976113,0.596485,0.873958
420979489,0.580891,0.872264
421980507,0.580101,0.872264
422981609,0.576472,0.872332
423982514,0.593586,0.873958
424983852,0.582165,0.872264
425985350,0.586168,0.872332
426986551,0.582895,0.872332
427987471,0.596473,0.873958
428991812,0.5783,0.872264
429992754,0.576543,0.872264
430994362,0.571137,0.872332
431995892,0.590047,0.873958
432998940,0.576506,0.873958
434000745,0.582404,0.872264
435002086,0.577834,0.872332
436005143,0.580682,0.873958
437006629,0.574824,0.873958
438008143,0.569576,0.872264
439008566,0.585059,0.872332
440009490,0.588471,0.873958
441013408,0.58646,0.873958
442014483,0.572986,0.872264
443016098,0.578936,0.872332
444016553,0.581124,0.873958
445017921,0.58362,0.873958
446018451,0.580037,0.872264
447021366,0.573124,0.872332
448025723,0.588469,0.873958
449029034,0.589768,0.873958
450031009,0.586557,0.872264
451032967,0.569003,0.872332
452034396,0.582657,0.873958
453036131,0.582277,0.873958
454036522,0.581607,0.872264
455037435,0.585072,0.872332
456038984,0.586494,0.873958
457039435,0.589506,0.873958
458040948,0.565609,0.872264
459043186,0.572402,0.872332
460046589,0.576251,0.873958
461048635,0.595413,0.873958
462049697,0.59005,0.872264
463050582,0.578405,0.872332
464051557,0.574925,0.873958
465056088,0.592171,0.873958
466058341,0.579624,0.872264
467059880,0.575932,0.872332
468060658,0.58079,0.873958
469061642,0.599541,0.873958
470063232,0.581298,0.872264
471065359,0.576069,0.872332
472066560,0.582748,0.873958
473070354,0.592178,0.873958
474071955,0.575991,0.872264
475072558,0.571918,0.872332
476073485,0.578527,0.871722
477074707,0.596902,0.873958
478075435,0.567944,0.872264
479076815,0.580397,0.872332
480080815,0.575038,0.873958
481081474,0.606291,0.873958
482082443,0.576017,0.872264
483085887,0.572957,0.872332
484087498,0.578441,0.871722
485088624,0.583103,0.873958
486090166,0.580809,0.872264
487090484,0.581485,0.872332
488093637,0.580997,0.871722
489096056,0.59217,0.873958
490098187,0.585131,0.872264
491101697,0.569216,0.872332
492102902,0.573404,0.871722
493104883,0.589841,0.873958
494105616,0.585671,0.872264
495107892,0.57883,0.872332
496111349,0.576169,0.871722
497113699,0.596668,0.873958
498114435,0.565193,0.872264
499118435,0.574453,0.872332
500119471,0.574062,0.871722
501120578,0.587518,0.873958
502122535,0.579421,0.872264
503123862,0.579534,0.872332
504126263,0.574112,0.871722
505128707,0.580805,0.873958
506130561,0.575245,0.872264
507133131,0.577865,0.872332
508136913,0.575335,0.871722
509138537,0.59954,0.873958
510139879,0.577805,0.872264
511143192,0.57464,0.872332
512143703,0.575035,0.871722
513146568,0.584758,0.873958
514147447,0.579581,0.872264
515148516,0.580174,0.872332
516149513,0.580253,0.871722
517152323,0.593316,0.873958
518153674,0.570221,0.872264
519154981,0.575101,0.872332
520157075,0.578493,0.871722
521158437,0.588012,0.873958
522162305,0.573935,0.872264
523164636,0.573137,0.872332
524167807,0.56975,0.871722
525168193,0.585416,0.873958
526169534,0.577728,0.872264
527171162,0.585139,0.872332
528171916,0.578524,0.871722
529174394,0.597887,0.873958
530177070,0.578121,0.872264
531179838,0.575801,0.872332
532180824,0.570383,0.871722
533183115,0.594994,0.873958
534185920,0.58192,0.872264
535187215,0.58639,0.872332
536190274,0.582989,0.871722
537192224,0.593898,0.873958
538193799,0.580521,0.872264
539194613,0.569696,0.872332
540197057,0.578274,0.871722
541198435,0.595436,0.873958
542198726,0.57847,0.872264
543201044,0.579184,0.872332
